batch	work_id	title	source_path	output_path	current_semitones	current_key_burden	current_max_key_abs	current_tessitura_score	best_semitones	best_key_burden	best_max_key_abs	best_tessitura_score	key_burden_delta	tessitura_delta	status	note
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	1	1	0.398621							ok	
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	1	1	0.404268							ok	
kdf_string_quartet	IV 3-4. Io Tacerò	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	2	1	1	0.509071							ok	
kdf_string_quartet	IV 5. Che fai meco	5. Che fai meco	data/kdf/book4/sources/book4_05_che_fai_meco.mid	data/kdf/book4/reductions/string_quartet/book4_05_che_fai_meco.musicxml	2	1	1	0.41914							ok	
kdf_string_quartet	IV 6. Questa crudele et pia	6. Questa crudele et pia	data/kdf/book4/sources/book4_06_questa_crudele_et_pia.mid	data/kdf/book4/reductions/string_quartet/book4_06_questa_crudele_et_pia.musicxml	0	1	1	0.326589							ok	
kdf_string_quartet	IV 7-8. Or che in gioia	7-8. Or che in gioia	data/kdf/book4/sources/book4_07-08_or_che_in_gioia.mid	data/kdf/book4/reductions/string_quartet/book4_07-08_or_che_in_gioia.musicxml	0	1	1	0.367761							ok	
kdf_string_quartet	IV 9-10. Cor mio, deh, non piangete	9-10. Cor mio, deh, non piangete	data/kdf/book4/sources/book4_09-10_cor_mio_deh_non_piangete.mid	data/kdf/book4/reductions/string_quartet/book4_09-10_cor_mio_deh_non_piangete.musicxml	0	0	0	0.44595							ok	
kdf_string_quartet	IV 11. Sparge la morte	11. Sparge la morte	data/kdf/book4/sources/book4_11_sparge_la_morte.mid	data/kdf/book4/reductions/string_quartet/book4_11_sparge_la_morte.musicxml	5	1	1	0.379715							ok	
kdf_string_quartet	IV 12-13. Moro, e mentre sospiro	12-13. Moro, e mentre sospiro	data/kdf/book4/sources/book4_12-13_moro_e_mentre_sospiro.mid	data/kdf/book4/reductions/string_quartet/book4_12-13_moro_e_mentre_sospiro.musicxml	2	1	1	0.493598							ok	
kdf_string_quartet	IV 14. Mentre gira costei	14. Mentre gira costei	data/kdf/book4/sources/book4_14_mentre_gira_costei.mid	data/kdf/book4/reductions/string_quartet/book4_14_mentre_gira_costei.musicxml	0	0	0	0.354195							ok	
kdf_string_quartet	IV 15. A voi, mentre il mio core	15. A voi, mentre il mio core	data/kdf/book4/sources/book4_15_a_voi_mentre_il_mio_core.mid	data/kdf/book4/reductions/string_quartet/book4_15_a_voi_mentre_il_mio_core.musicxml	0	0	0	0.342575							ok	
kdf_string_quartet	IV 16-17. Ecco, morirò dunque	16-17. Ecco, morirò dunque	data/kdf/book4/sources/book4_16-17_ecco_moriro_dunque.mid	data/kdf/book4/reductions/string_quartet/book4_16-17_ecco_moriro_dunque.musicxml	0	0	0	0.341776							ok	
kdf_string_quartet	IV 18. Arde il mio cor	18. Arde il mio cor	data/kdf/book4/sources/book4_18_arde_il_mio_cor.mid	data/kdf/book4/reductions/string_quartet/book4_18_arde_il_mio_cor.musicxml	0	0	0	0.270176							ok	
kdf_string_quartet	IV 19. Se chiudete nel core	19. Se chiudete nel core	data/kdf/book4/sources/book4_19_se_chiudete_nel_core.mid	data/kdf/book4/reductions/string_quartet/book4_19_se_chiudete_nel_core.musicxml	0	0	0	0.30673							ok	
kdf_string_quartet	VI 1. Se la mia morte brami	1. Se la mia morte brami	data/kdf/book6/sources/book6_01_se_la_mia_morte_brami.mid	data/kdf/book6/reductions/string_quartet/book6_01_se_la_mia_morte_brami.musicxml	0	1	1	0.326959							ok	
kdf_string_quartet	VI 2. Beltà poi che tassenti	2. Beltà poi che tassenti	data/kdf/book6/sources/book6_02_belta_poi_che_tassenti.mid	data/kdf/book6/reductions/string_quartet/book6_02_belta_poi_che_tassenti.musicxml	0	1	1	0.411626							ok	
kdf_string_quartet	VI 3. Tu piangi, o filli mia	3. Tu piangi, o filli mia	data/kdf/book6/sources/book6_03_tu_piangi_o_filli_mia.mid	data/kdf/book6/reductions/string_quartet/book6_03_tu_piangi_o_filli_mia.musicxml	0	1	1	0.394706							ok	
kdf_string_quartet	VI 4. Resta di darmi noia	4. Resta di darmi noia	data/kdf/book6/sources/book6_04_resta_di_darmi_noia.mid	data/kdf/book6/reductions/string_quartet/book6_04_resta_di_darmi_noia.musicxml	0	0	0	0.487886							ok	
kdf_string_quartet	VI 5. Chiaro risplender suole	5. Chiaro risplender suole	data/kdf/book6/sources/book6_05_chiaro_risplender_suole.mid	data/kdf/book6/reductions/string_quartet/book6_05_chiaro_risplender_suole.musicxml	0	0	0	0.329151							ok	
kdf_string_quartet	VI 6. Io parto e non più dissi	6. Io parto e non più dissi	data/kdf/book6/sources/book6_06_io_parto_e_non_piu_dissi.mid	data/kdf/book6/reductions/string_quartet/book6_06_io_parto_e_non_piu_dissi.musicxml	0	0	0	0.405896							ok	
kdf_string_quartet	VI 7. Mille volte il di	7. Mille volte il di	data/kdf/book6/sources/book6_07_mille_volte_il_di.mid	data/kdf/book6/reductions/string_quartet/book6_07_mille_volte_il_di.musicxml	2	2	2	0.378196							ok	
kdf_string_quartet	VI 8. O Dolce mio tesoro	8. O Dolce mio tesoro	data/kdf/book6/sources/book6_08_o_dolce_mio_tesoro.mid	data/kdf/book6/reductions/string_quartet/book6_08_o_dolce_mio_tesoro.musicxml	0	0	0	0.342774							ok	
kdf_string_quartet	VI 9. Deh, come invan sospiro	9. Deh, come invan sospiro	data/kdf/book6/sources/book6_09_deh_come_invan_sospiro.mid	data/kdf/book6/reductions/string_quartet/book6_09_deh_come_invan_sospiro.musicxml	0	0	0	0.306834							ok	
kdf_string_quartet	VI 10.  Io pur respiro in così gran dolore	10.  Io pur respiro in così gran dolore	data/kdf/book6/sources/book6_10_io_pur_respiro_in_cosi_gran_dolore.mid	data/kdf/book6/reductions/string_quartet/book6_10_io_pur_respiro_in_cosi_gran_dolore.musicxml	0	0	0	0.280893							ok	
kdf_string_quartet	VI 11. Alme dAmor rubelle	11. Alme dAmor rubelle	data/kdf/book6/sources/book6_11_alme_damor_rubelle.mid	data/kdf/book6/reductions/string_quartet/book6_11_alme_damor_rubelle.musicxml	0	0	0	0.415759							ok	
kdf_string_quartet	VI 12. Càndido e verde fiore	12. Càndido e verde fiore	data/kdf/book6/sources/book6_12_candido_e_verde_fiore.mid	data/kdf/book6/reductions/string_quartet/book6_12_candido_e_verde_fiore.musicxml	0	0	0	0.392127							ok	
kdf_string_quartet	VI 13. Ardita Zanzaretta	13. Ardita Zanzaretta	data/kdf/book6/sources/book6_13_ardita_zanzaretta.mid	data/kdf/book6/reductions/string_quartet/book6_13_ardita_zanzaretta.musicxml	0	0	0	0.370269							ok	
kdf_string_quartet	VI 14. Ardo per te, mio bene	14. Ardo per te, mio bene	data/kdf/book6/sources/book6_14_ardo_per_te_mio_bene.mid	data/kdf/book6/reductions/string_quartet/book6_14_ardo_per_te_mio_bene.musicxml	2	2	2	0.406867							ok	
kdf_string_quartet	VI 15. Ancide sol la morte	15. Ancide sol la morte	data/kdf/book6/sources/book6_15_ancide_sol_la_morte.mid	data/kdf/book6/reductions/string_quartet/book6_15_ancide_sol_la_morte.musicxml	0	0	0	0.377753							ok	
kdf_string_quartet	VI 16. Quel no crudel que la mia speme ancise	16. Quel no crudel que la mia speme ancise	data/kdf/book6/sources/book6_16_quel_no_crudel_que_la_mia_speme_ancise.mid	data/kdf/book6/reductions/string_quartet/book6_16_quel_no_crudel_que_la_mia_speme_ancise.musicxml	0	0	0	0.394022							ok	
kdf_string_quartet	VI 17. Moro, lasso, al mio duolo	17. Moro, lasso, al mio duolo	data/kdf/book6/sources/book6_17_moro_lasso_al_mio_duolo.mid	data/kdf/book6/reductions/string_quartet/book6_17_moro_lasso_al_mio_duolo.musicxml	0	0	0	0.29546							ok	
kdf_string_quartet	VI 18. Volan quasi farfalle	18. Volan quasi farfalle	data/kdf/book6/sources/book6_18_volan_quasi_farfalle.mid	data/kdf/book6/reductions/string_quartet/book6_18_volan_quasi_farfalle.musicxml	0	1	1	0.425041							ok	
kdf_string_quartet	VI 19. Al mio gioir il ciel si fa sereno	19. Al mio gioir il ciel si fa sereno	data/kdf/book6/sources/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.mid	data/kdf/book6/reductions/string_quartet/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.musicxml	0	1	1	0.381181							ok	
kdf_string_quartet	VI 20. Tu segui, o bella Clori	20. Tu segui, o bella Clori	data/kdf/book6/sources/book6_20_tu_segui_o_bella_clori.mid	data/kdf/book6/reductions/string_quartet/book6_20_tu_segui_o_bella_clori.musicxml	0	0	0	0.431175							ok	
kdf_string_quartet	VI 21. Ancor che per amarti	21. Ancor che per amarti	data/kdf/book6/sources/book6_21_ancor_che_per_amarti.mid	data/kdf/book6/reductions/string_quartet/book6_21_ancor_che_per_amarti.musicxml	0	0	0	0.297434							ok	
kdf_string_quartet	VI 22. Già piansi nel dolore	22. Già piansi nel dolore	data/kdf/book6/sources/book6_22_gia_piansi_nel_dolore.mid	data/kdf/book6/reductions/string_quartet/book6_22_gia_piansi_nel_dolore.musicxml	0	0	0	0.33185							ok	
kdf_string_quartet	VI 23. Quando ridente e bella	23. Quando ridente e bella	data/kdf/book6/sources/book6_23_quando_ridente_e_bella.mid	data/kdf/book6/reductions/string_quartet/book6_23_quando_ridente_e_bella.musicxml	-3	2	2	0.408685							ok	
cpdl_5_voice_string_quartet	2	Ave Regina coelorum	data/cpdl/5-voices/sources/002_ave_regina_coelorum__02_gesualdo_ave_regina_coelorum.mxl	data/cpdl/5-voices/reductions/string_quartet/002_ave_regina_coelorum.musicxml	2	2	2	0.38719							ok	
cpdl_5_voice_string_quartet	3	Ave, dulcissima Maria	data/cpdl/5-voices/sources/003_ave_dulcissima_maria__02_ave_dulcissima_maria_gesualdo.mxl	data/cpdl/5-voices/reductions/string_quartet/003_ave_dulcissima_maria.musicxml	0	2	2	0.407875							ok	
