batch	work_id	title	source_path	output_path	current_semitones	candidate_semitones	candidate_key_burden	candidate_max_key_abs	candidate_tessitura_score	candidate_tessitura_ok	candidate_is_current
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	-5	0	0	0.62009	no	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	-4	5	5	0.551139	no	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	-3	2	2	0.44586	yes	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	-2	3	3	0.403431	yes	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	-1	4	4	0.362301	yes	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	0	1	1	0.398621	yes	yes
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	1	6	6	0.438643	yes	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	2	1	1	0.572517	no	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	3	4	4	0.616788	no	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	4	3	3	0.782869	no	no
kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	0	5	2	2	1.11172	no	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	-5	0	0	0.77508	no	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	-4	5	5	0.601215	no	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	-3	2	2	0.426762	yes	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	-2	3	3	0.38268	yes	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	-1	4	4	0.362074	yes	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	0	1	1	0.404268	yes	yes
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	1	6	6	0.433449	yes	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	2	1	1	0.551134	no	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	3	4	4	0.595788	no	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	4	3	3	0.769949	no	no
kdf_string_quartet	IV 2. Tallor sano desio	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	0	5	2	2	1.00321	no	no
kdf_string_quartet	IV 3-4. Io Tacerò	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	2	-3	2	2	0.853378	no	no
kdf_string_quartet	IV 3-4. Io Tacerò	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	2	-2	3	3	0.741911	no	no
kdf_string_quartet	IV 3-4. Io Tacerò	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	2	-1	4	4	0.615357	no	no
kdf_string_quartet	IV 3-4. Io Tacerò	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	2	0	1	1	0.574793	no	no
kdf_string_quartet	IV 3-4. Io Tacerò	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	2	1	6	6	0.492314	yes	no
kdf_string_quartet	IV 3-4. Io Tacerò	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	2	2	1	1	0.509071	yes	yes
